Foundation, Unit 3, Communication 1, Exercise 9, Dictation.
Can you bring me a slice of cheesecake and a cup of coffee with no sugar, please?
2. Are you ready to order? Are you having a starter or just a main course?
3. He loves onion rings with spicy sauce. He can't have enough.
4. I'd like a side dish of french fries and a lot of tomato sauce.
5. There are a lot of people in this bar, but there isn't enough space and there are few dishes to choose from.
6. Can you bring me a slice of cheesecake and a cup of coffee?
7. With no sugar, comma...
7. With no sugar, comma...
8. With no sugar, comma...
8. With no sugar, comma...
8. With no sugar, comma...
9. Please, question mark...
9. With no sugar, comma...
10. With no sugar, comma...
10. With no sugar, comma...
10. With no sugar, comma...
10. With no sugar, comma...
10. With no sugar, comma...
10. With no sugar, comma...
10. With no sugar, comma...
10. With no sugar, comma...
10. With no sugar, comma...
10. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
11. With no sugar, comma...
12. With no sugar, comma...
12. With no sugar, comma...
12. With no sugar, comma...
12. With no sugar, comma...
12. With no sugar, comma...
13. With no sugar, comma...
13. With no sugar, comma...
14. With no sugar, comma...
14. With no sugar, comma...
14. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
15. With no sugar, comma...
16. With no sugar, comma...
16. With no sugar, comma...
16. With no sugar, comma...
16. With no sugar, comma...
16. With no sugar, comma...
16. With no sugar, comma...
16. With no sugar, comma...
17. With no sugar, comma...
17. With no sugar, comma...
17. With no sugar, comma...
17. With no sugar, comma...
17. With no sugar, comma...
18. With no sugar, comma...
18. With no sugar, comma...
18. With no sugar, comma...
18. With no sugar, comma...
18. With no sugar, comma...
18. With no sugar, comma...
18. With no sugar, comma...
18. With no sugar, comma...
18. With no sugar, comma...
