Expansion, Unit 7, Communication 1, Exercise 9, Dictation.
Let me tell you about my family.
My mum is the most generous, outgoing and lively person that I know.
She's a real people person, always happy to help others.
Dad is more down-to-earth but also creative.
And how about my sister Mary?
She's a total teen, as cool as a cucumber one minute, moody and upset the next.
And me?
I'm as generous as my mum and as funny as my dad.
I'm serious and reliable most of the time and the life and soul of the party when I'm with my closest friends.
Let me tell you about my family.
Full stop.
My mum
Is the most generous, comma, outgoing, and lively person.
That I know.
Full stop.
Full stop.
She's a real people person, comma, and...
She's a real people person, comma...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
She's a real people person, comma, and...
