Core, in Valsi Training 1. Body Worlds. A journey under the skin.
Mission of the Exhibition.
The Body Worlds is a successful travelling exhibition which takes visitors on an unforgettable journey into the human body.
Since 1995, it has attracted more than 54 million people in over 150 cities across the Americas, Asia, Australasia, Europe and South Africa.
The creators of the exhibition are Dr. Angelina Wally and Dr. Gunther von Hagens, whose primary goal is to educate the public about the effects of healthy and unhealthy lifestyles.
Each Body Worlds exhibition contains real human bodies, which experts have preserved thanks to a technique called plastination, designed for educational purposes.
The various plastinates on display provide an insight into the anatomy and physiology of the human body.
For example, they show the positions of human organs.
They demonstrate the mechanics of artificial knee or hip joints.
They highlight the long-term impact of diseases caused by tobacco or alcohol consumption by comparing organs, i.e. a healthy lung, with that of a smoker.
Effects on Visitors.
Several surveys have demonstrated the positive effects on the population in countries where the exhibition has taken place.
Since their visit, 68% of respondents have decided to pay more attention to their physical health.
33% have followed a healthier diet.
25% have engaged in more sports activities.
23% have been thinking about donating organs.
9% have smoked less and consumed less alcohol.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
30% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
31% have been thinking about donating organs.
32% have been thinking about donating organs.
32% have been thinking about donating organs.
32% have been thinking about donating organs.
33% have been thinking about donating organs.
33% have been thinking about donating organs.
33% have been thinking about donating organs.
33% have been thinking about donating organs.
34% have been thinking about donating organs.
34% have been thinking about donating organs.
34% have been thinking about donating organs.
34% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
35% have been thinking about donating organs.
